source_id,lensComponentSourceId,_source_rank,epoch_obs_jd,flux_obs,flux_obs_error,n_points_in_bin,pre_bin_index,pre_bin_start_day,pre_bin_end_day,isFluxCalibrated
362059596955069568,362059596955069633,1,2457021.3508338523,539.0377502441406,19.14656114578247,2,0,2457021.313830232,2457025.313830232,True
362059596955069568,362059596955069633,1,2457049.052128099,525.353759765625,10.825481414794922,1,6,2457045.313830232,2457049.313830232,True
362059596955069568,362059596955069633,1,2457072.837147925,527.0116271972656,8.471341133117676,2,12,2457069.313830232,2457073.313830232,True
362059596955069568,362059596955069633,1,2457199.5547880367,545.162109375,9.93143081665039,1,44,2457197.313830232,2457201.313830232,True
362059596955069568,362059596955069633,1,2457231.327570496,532.7589111328125,8.074826955795288,2,52,2457229.313830232,2457233.313830232,True
362059596955069568,362059596955069633,1,2457253.576221412,518.1901702880859,7.7236762046813965,2,58,2457253.313830232,2457257.313830232,True
362059596955069568,362059596955069633,1,2457351.675276334,530.9081787109375,10.067313194274902,5,82,2457349.313830232,2457353.313830232,True
362059596955069568,362059596955069633,1,2457429.130338533,522.899658203125,9.665202617645264,2,101,2457425.313830232,2457429.313830232,True
362059596955069568,362059596955069633,1,2457447.6350383023,536.3770141601562,8.82942533493042,2,106,2457445.313830232,2457449.313830232,True
362059596955069568,362059596955069633,1,2457575.8906858005,531.7083129882812,11.583026885986328,2,138,2457573.313830232,2457577.313830232,True
362059596955069568,362059596955069633,1,2457611.330034795,531.52685546875,8.48464584350586,1,147,2457609.313830232,2457613.313830232,True
362059596955069568,362059596955069633,1,2457737.26251821,534.2672119140625,8.380938529968262,1,178,2457733.313830232,2457737.313830232,True
362059596955069568,362059596955069633,1,2457737.43867583,520.8846435546875,8.790731430053711,1,179,2457737.313830232,2457741.313830232,True
362059596955069568,362059596955069633,1,2457772.4090792183,547.1428833007812,20.543092727661133,1,187,2457769.313830232,2457773.313830232,True
362059596955069568,362059596955069633,1,2457819.3140150546,531.4684099469866,11.355123111179896,7,199,2457817.313830232,2457821.313830232,True
362059596955069568,362059596955069633,1,2457899.5083613885,520.435661315918,9.974907398223877,4,219,2457897.313830232,2457901.313830232,True
362059596955069568,362059596955069633,1,2457952.2466194546,535.7189331054688,8.377083539962769,2,232,2457949.313830232,2457953.313830232,True
362059596955069568,362059596955069633,1,2457991.9640641147,527.7057189941406,7.771380186080933,2,242,2457989.313830232,2457993.313830232,True
362059596955069568,362059596955069633,1,2458002.289910395,549.5587565104166,46.80092430114746,3,245,2458001.313830232,2458005.313830232,True
362059596955069568,362059596955069633,1,2458116.6087332917,521.4332275390625,7.0484137535095215,1,273,2458113.313830232,2458117.313830232,True
362059596955069568,362059596955069633,1,2458148.051696082,535.8145446777344,10.234260082244873,2,281,2458145.313830232,2458149.313830232,True
362059596955069568,362059596955069633,1,2458273.9307560255,537.6350402832031,9.747942447662354,2,313,2458273.313830232,2458277.313830232,True
362059596955069568,362059596955069633,1,2458296.808223001,539.1734313964844,7.9608001708984375,2,318,2458293.313830232,2458297.313830232,True
362059596955069568,362059596955069633,1,2458328.507743966,526.7088012695312,15.2620210647583,1,326,2458325.313830232,2458329.313830232,True
362059596955069568,362059596955069633,1,2458472.6162422453,542.4103698730469,18.32870578765869,2,362,2458469.313830232,2458473.313830232,True
362059596955069568,362059596955069633,1,2458495.8608748503,523.3054504394531,8.386533737182617,2,368,2458493.313830232,2458497.313830232,True
362059596955069568,362059596955069633,1,2458649.604355828,518.1487884521484,16.151562213897705,2,407,2458649.313830232,2458653.313830232,True
362059596955069568,362059596955069633,1,2458677.312147669,528.051025390625,9.024423599243164,1,413,2458673.313830232,2458677.313830232,True
362059596955069568,362059596955069633,1,2458677.386154409,538.7582397460938,9.955400466918944,1,414,2458677.313830232,2458681.313830232,True
362059596955069568,362059596955069633,1,2458709.458520204,540.2057495117188,8.859473705291748,2,422,2458709.313830232,2458713.313830232,True
362059596955069568,362059596955069633,1,2458834.332544549,528.5995483398438,8.303447723388672,1,453,2458833.313830232,2458837.313830232,True
362059596955069568,362059596955069633,1,2458860.447962043,536.3677368164062,7.326135635375977,1,459,2458857.313830232,2458861.313830232,True
362059596955069568,362059596955069635,0,2457021.3508337387,447.0047607421875,8.44484281539917,2,31,2457019.3414654755,2457023.3414654755,True
362059596955069568,362059596955069635,0,2457072.8248132947,452.27584682422633,11.613354715188862,3,44,2457071.3414654755,2457075.3414654755,
362059596955069568,362059596955069635,0,2457199.554787923,451.96099853515625,8.275969505310059,1,76,2457199.3414654755,2457203.3414654755,True
362059596955069568,362059596955069635,0,2457231.290567188,450.0902404785156,7.4708733558654785,1,83,2457227.3414654755,2457231.3414654755,True
362059596955069568,362059596955069635,0,2457231.3645740766,447.8498840332031,7.934304237365723,1,84,2457231.3414654755,2457235.3414654755,True
362059596955069568,362059596955069635,0,2457429.1303385836,426.9405822753906,27.118957519531254,2,133,2457427.3414654755,2457431.3414654755,True
362059596955069568,362059596955069635,0,2457447.635038166,455.5576477050781,7.963641166687012,2,138,2457447.3414654755,2457451.3414654755,True
362059596955069568,362059596955069635,0,2457575.890685698,456.45115661621094,10.584428787231445,2,170,2457575.3414654755,2457579.3414654755,True
362059596955069568,362059596955069635,0,2457611.330034943,442.0643615722656,6.976741313934326,1,178,2457607.3414654755,2457611.3414654755,True
