source_id,lensComponentSourceId,_source_rank,epoch_obs_jd,flux_obs,flux_obs_error,n_points_in_bin,pre_bin_index,pre_bin_start_day,pre_bin_end_day,isFluxCalibrated,_pre_keep,_pre_removed_reason,pre_rolling_median,pre_rolling_sigma_hybrid,pre_n_neighbors_used,pre_local_z
362059596955069568,362059596955069633,1,2457812.3580688494,565.2902628580729,17.107638518015545,6,197,2457809.313830232,2457813.313830232,True,True,adaptive_rolling_hybrid_outlier,531.6175842285156,6.70458468588286,10,5.022336238135417
362059596955069568,362059596955069633,1,2458097.821388365,498.3477020263672,11.309408187866211,2,269,2458097.313830232,2458101.313830232,True,True,adaptive_rolling_hybrid_outlier,533.5936715262277,8.495225553041301,10,-4.148915091164637
362059596955069568,362059596955069635,0,2456895.3784688003,760.6512222037155,23.88204653445291,2,0,2456895.3414654755,2456899.3414654755,False,True,adaptive_rolling_hybrid_outlier,451.02561950683594,7.519684890963646,10,41.17534274194848
362059596955069568,362059596955069635,0,2457049.0521281785,528.9024749912733,23.73991018378109,1,38,2457047.3414654755,2457051.3414654755,False,True,adaptive_rolling_hybrid_outlier,451.02561950683594,7.519684890963646,10,10.356398787138197
362059596955069568,362059596955069635,0,2457253.576221378,746.1664733886719,31.006479357157495,2,89,2457251.3414654755,2457255.3414654755,False,True,adaptive_rolling_hybrid_outlier,451.02561950683594,8.405569754977805,10,35.112534008423715
362059596955069568,362059596955069635,0,2457351.6826773216,411.744140625,23.160436312357586,6,114,2457351.3414654755,2457355.3414654755,True,True,adaptive_rolling_hybrid_outlier,451.02561950683594,7.47315038364999,10,-5.256347974446932
362059596955069568,362059596955069635,0,2457812.2904203134,588.6358829667621,20.1107540783633,5,229,2457811.3414654755,2457815.3414654755,False,True,adaptive_rolling_hybrid_outlier,456.00440216064453,6.816211735263851,10,19.458239555550353
362059596955069568,362059596955069635,0,2458002.289910452,435.6962178548177,25.640052159627277,3,276,2457999.3414654755,2458003.3414654755,True,True,adaptive_rolling_hybrid_outlier,459.5156707763672,4.071457146802017,10,-5.850350884881306
362059596955069568,362059596955069635,0,2458328.507743886,497.64111328125,34.06264151367576,1,358,2458327.3414654755,2458331.3414654755,False,True,adaptive_rolling_hybrid_outlier,456.6993942260742,4.6556760451989625,10,8.793936403155842
534928457206279296,534928457206279361,4,2457881.264394409,145.56150817871094,5.263687610626221,1,212,2457877.582100795,2457881.582100795,True,True,adaptive_rolling_hybrid_outlier,136.4302749633789,2.0062009502021154,10,4.551504780421972
534928457206279296,534928457206279361,4,2458498.425300551,132.14584350585938,4.287101268768311,1,367,2458497.582100795,2458501.582100795,True,True,adaptive_rolling_hybrid_outlier,142.6745885213216,1.7454350316265734,10,-6.032160936778304
534928457206279296,534928457206279361,4,2458533.8188678334,129.41519165039062,4.527710914611816,1,376,2458533.582100795,2458537.582100795,True,True,adaptive_rolling_hybrid_outlier,141.86400604248047,1.9910866636606368,10,-6.252271495406709
586555269774257280,586555269774257345,5,2457381.068393925,1088.1444091796875,37.94872628016266,1,106,2457380.9617484976,2457384.9617484976,False,True,adaptive_rolling_hybrid_outlier,412.26756286621094,106.05284514123636,10,6.373019464148976
586555269774257280,586555269774257345,5,2458408.2261220487,792.2882080078125,28.959924697875977,1,362,2458404.9617484976,2458408.9617484976,True,True,adaptive_rolling_hybrid_outlier,335.67127893426874,55.12486183664243,10,8.283321061677887
586555269774257280,586555269774257347,6,2457381.06839396,1071.8643798828125,27.27028465270996,1,106,2457380.961748577,2457384.961748577,True,True,adaptive_rolling_hybrid_outlier,467.10072326660156,124.54908980665574,10,4.8556248588810895
586555269774257280,586555269774257347,6,2458235.692277681,252.94825744628903,10.71400260925293,1,319,2458232.961748577,2458236.961748577,True,True,adaptive_rolling_hybrid_outlier,483.0429992675781,35.80185451006387,10,-6.426894499462581
586555269774257280,586555269774257347,6,2458616.018989683,255.10408020019528,8.985004425048828,2,414,2458612.961748577,2458616.961748577,True,True,adaptive_rolling_hybrid_outlier,472.8938751220703,38.57846421238166,10,-5.645372343567164
646821082640500352,646821082640500419,8,2458428.533956375,191.95675659179688,9.711442947387695,1,361,2458425.9376523034,2458429.9376523034,True,True,adaptive_rolling_hybrid_outlier,177.7355194091797,2.5864024005193227,10,5.4984627217179005
732123458171165824,732123458171165891,12,2458273.763725688,153.8770294189453,9.252714157104492,1,317,2458273.7507736883,2458277.7507736883,True,True,adaptive_rolling_hybrid_outlier,143.60248565673828,2.0149141633732284,10,5.099246384275799
798737095262153856,798737095262153923,18,2457326.2835676763,107.69046401977538,6.028112173080444,2,101,2457323.0658974783,2457327.0658974783,True,True,adaptive_rolling_hybrid_outlier,95.719482421875,2.887519914590173,10,4.145765900145982
928565336620746368,928565336620746433,22,2457270.72764545,149.2090301513672,9.404244740804037,3,71,2457267.171535324,2457271.171535324,True,True,adaptive_rolling_hybrid_outlier,121.81620216369629,2.923253722061767,10,9.370663853410155
928565336620746368,928565336620746433,22,2457290.090302678,141.08045959472656,6.877364635467529,1,76,2457287.171535324,2457291.171535324,True,True,adaptive_rolling_hybrid_outlier,121.81620216369629,2.923253722061767,10,6.590005269006625
928565336620746368,928565336620746433,22,2458728.289150341,148.471435546875,58.32614135742188,1,436,2458727.171535324,2458731.171535324,True,True,adaptive_rolling_hybrid_outlier,105.72555160522461,5.31041616195902,10,8.049441444506558
1002696639653430912,1002696639653430977,23,2458213.9808215834,229.7594146728516,39.70187377929688,1,326,2458210.639881857,2458214.639881857,True,True,adaptive_rolling_hybrid_outlier,193.4147777557373,6.250272045237063,10,5.814888800689921
1002696639653430912,1002696639653430979,24,2457263.8343518474,116.46929168701172,52.78308868408203,1,38,2457262.351590358,2457266.351590358,True,True,adaptive_rolling_hybrid_outlier,79.18513679504395,3.838235886050663,10,9.713877937380015
1065585960278240384,1065585960278240449,25,2456904.96238475,31032.0615234375,81.68468475341797,2,0,2456904.874305838,2456908.874305838,True,True,adaptive_rolling_hybrid_outlier,30862.67138671875,28.702456764733576,10,5.901590170736813
1065585960278240384,1065585960278240451,26,2457285.322482337,105.98098754882812,8.42066764831543,1,85,2457283.435091441,2457287.435091441,True,True,adaptive_rolling_hybrid_outlier,88.67210388183594,4.085554172060835,10,4.236606085255073
1065585960278240384,1065585960278240451,26,2457416.1038715565,101.97822117511089,3.42975785463562,3,118,2457415.435091441,2457419.435091441,False,True,adaptive_rolling_hybrid_outlier,88.02633666992188,2.4170179521984343,10,5.772354521611589
1065585960278240384,1065585960278240451,26,2457965.192617976,114.70093948431634,4.538097563024909,5,255,2457963.435091441,2457967.435091441,False,True,adaptive_rolling_hybrid_outlier,88.26884841918945,3.949302112992187,10,6.692851118726042
1283010910042315904,1283010910042315969,27,2457705.502485908,326.82630308065944,5.446437969589257,1,198,2457705.339901916,2457709.339901916,False,True,adaptive_rolling_hybrid_outlier,301.9797821044922,3.3799952937193813,10,7.351051944461701
1283010910042315904,1283010910042315969,27,2458389.853345063,312.9632934570312,7.967756652832032,5,369,2458389.339901916,2458393.339901916,True,True,adaptive_rolling_hybrid_outlier,303.92356300354004,2.246378895570337,10,4.0241343396328855
1290471096436583424,1290471096436583489,29,2457383.762699749,841.5772094726562,30.18791007995605,1,116,2457379.766207788,2457383.766207788,True,True,adaptive_rolling_hybrid_outlier,883.5819244384766,2.992323374050937,10,-14.03749184666339
1290471096436583424,1290471096436583489,29,2458751.9744920363,893.2839965820312,10.988006591796875,2,459,2458751.766207788,2458755.766207788,True,True,adaptive_rolling_hybrid_outlier,876.9651947021484,4.075827701839669,10,4.003800718199433
1349383651008404096,1349383651008404161,31,2457159.823162692,3631.5546875,35.00453923239365,2,49,2457159.137943237,2457163.137943237,,True,adaptive_rolling_hybrid_outlier,3539.56884765625,9.730587171662373,10,9.45326712776729
1349383651008404096,1349383651008404161,31,2458570.6667250805,3497.001953125,55.12900161743164,1,401,2458567.137943237,2458571.137943237,True,True,adaptive_rolling_hybrid_outlier,3528.890869140625,7.897965125890606,10,-4.037611651523858
1349383651008404096,1349383651008404163,32,2458757.992215221,177.1613006591797,6.354207515716553,2,448,2458755.1379433284,2458759.1379433284,True,True,adaptive_rolling_hybrid_outlier,160.6401481628418,3.4653720036247853,10,4.767497538231606
1374812026358285952,1374812026358286017,34,2457272.997288492,10686.6748046875,39.18804168701172,2,89,2457272.515804271,2457276.515804271,True,True,adaptive_rolling_hybrid_outlier,10614.08984375,16.313676352301176,10,4.449331920653268
1374812026358285952,1374812026358286017,34,2457650.2961477153,10935.029829754349,30.212937484991585,2,183,2457648.515804271,2457652.515804271,,True,adaptive_rolling_hybrid_outlier,10597.052734375,10.94081282539158,10,30.89140640400748
1374812026358285952,1374812026358286019,33,2457034.706228208,152.04364013671875,8.679864883422852,1,29,2457032.515803907,2457036.515803907,True,True,adaptive_rolling_hybrid_outlier,142.27019500732422,2.059086574627092,10,4.746495484855725
1374812026358285952,1374812026358286019,33,2458136.413766182,244.09671179094423,4.431524656969754,1,304,2458132.515803907,2458136.515803907,False,True,adaptive_rolling_hybrid_outlier,152.86657333374023,7.482004924408555,10,12.193274313357344
1374812026358285952,1374812026358286019,33,2458610.0388169163,200.7460025070692,3.4428811836178843,1,423,2458608.515803907,2458612.515803907,False,True,adaptive_rolling_hybrid_outlier,148.5588836669922,6.732169738889191,10,7.751901818311534
1374812026358285952,1374812026358286019,33,2458796.722997276,253.65095785571464,5.697333940437856,2,470,2458796.515803907,2458800.515803907,False,True,adaptive_rolling_hybrid_outlier,146.0083465576172,4.485286759988284,10,23.99904778850274
1374812026358285952,1374812026358286021,35,2458003.3989152843,179.78449424992527,4.499110966017636,2,271,2458000.5158049534,2458004.5158049534,False,True,adaptive_rolling_hybrid_outlier,133.50488408406574,2.2534782739381303,10,20.53696754084178
1404629574817908352,1404629574817908417,37,2458072.603088022,1156.18701171875,75.58058166503906,1,104,2458072.589054582,2458076.589054582,True,True,adaptive_rolling_hybrid_outlier,1116.278076171875,7.313902158175328,10,5.456585921410723
1404629574817908352,1404629574817908419,36,2457378.7186593562,156.23878479003906,5.287245512008667,2,114,2457378.5221759104,2457382.5221759104,True,True,adaptive_rolling_hybrid_outlier,142.79888153076172,2.3101587570740967,10,5.817740109038865
1607493627670775424,1607493627670775489,38,2457433.6921475204,261.51470947265625,16.49801484389394,2,134,2457430.280835549,2457434.280835549,,True,adaptive_rolling_hybrid_outlier,288.6054153442383,5.309668067459693,10,-5.102146787217727
1607493627670775424,1607493627670775491,39,2457213.741741969,204.2254600076037,23.403270981760464,1,72,2457210.7800434106,2457214.7800434106,False,True,adaptive_rolling_hybrid_outlier,140.86932754516602,10.57405385268484,10,5.991659712074478
1659540453680688256,1659540453680688321,43,2457490.34997001,695.8614501953125,11.843270301818848,1,148,2457489.5336531973,2457493.5336531973,True,True,adaptive_rolling_hybrid_outlier,677.6921234130859,4.38391310892097,10,4.144545370950259
1659540453680688256,1659540453680688321,43,2457937.814680027,713.6312748606379,8.559124292133976,2,260,2457937.5336531973,2457941.5336531973,,True,adaptive_rolling_hybrid_outlier,679.1579437255859,6.7400041966002515,10,5.114734372486108
1686584114691786368,1686584114691786435,44,2457035.6780726183,588.8352661132812,21.270767211914062,1,34,2457035.1170999715,2457039.1170999715,True,True,adaptive_rolling_hybrid_outlier,607.5802001953125,3.4662264980680133,10,-5.407879171334938
1686584114691786368,1686584114691786435,44,2458071.371082651,648.9282082826185,6.873152030279746,1,293,2458071.1170999715,2458075.1170999715,False,True,adaptive_rolling_hybrid_outlier,603.1463623046875,5.369807384216557,10,8.525789232682214
1686584114691786368,1686584114691786435,44,2458349.992081539,639.7414570819947,7.216923842200451,2,362,2458347.1170999715,2458351.1170999715,False,True,adaptive_rolling_hybrid_outlier,603.1463623046875,4.378487230528202,10,8.357931141640556
1760679413013474304,1760679413013474369,47,2457712.5200092024,149.50778198242188,5.8333353996276855,1,187,2457709.1012963,2457713.1012963,True,True,adaptive_rolling_hybrid_outlier,137.24638175964355,2.3320312193020882,10,5.257819930235675
1760679413013474304,1760679413013474369,47,2458824.5894635683,146.4205093383789,5.851149082183838,2,465,2458821.1012963,2458825.1012963,True,True,adaptive_rolling_hybrid_outlier,136.5624771118164,2.0309040475136717,10,4.854011807515558
1807003693327705344,1807003693327705409,49,2457559.3239418934,90.31684112548828,4.980105559031169,3,141,2457556.1648779614,2457560.1648779614,True,True,adaptive_rolling_hybrid_outlier,98.43832397460938,1.814345570720321,10,-4.476260190001593
1807003693327705344,1807003693327705411,48,2457932.615544725,84.56659698486328,5.86989164352417,2,235,2457932.1648776885,2457936.1648776885,True,True,adaptive_rolling_hybrid_outlier,81.64581298828125,0.675721433504455,10,4.3224675905781735
1807003693327705344,1807003693327705411,48,2458364.665444908,72.08600616455078,7.48991584777832,1,343,2458364.1648776885,2458368.1648776885,True,True,adaptive_rolling_hybrid_outlier,81.75546836853027,0.6753441629789454,10,-14.317828944174865
1816089851251338368,1816089851251338435,50,2457560.8575634398,121.77174377441406,5.032642364501953,1,150,2457560.1083475216,2457564.1083475216,True,True,adaptive_rolling_hybrid_outlier,85.85691452026367,8.700161750926275,10,4.128064544354784
1824963803448259456,1824963803448259523,52,2458258.284951613,306.6607666015625,7.813294410705566,1,324,2458255.3631246234,2458259.3631246234,True,True,adaptive_rolling_hybrid_outlier,318.68321228027344,1.7468032059556264,10,-6.882541569491681
1838547406315860864,1838547406315860929,55,2458465.8904163856,901.0833129882812,20.900000039298057,2,369,2458465.0961800003,2458469.0961800003,,True,adaptive_rolling_hybrid_outlier,857.3527679443359,5.819854561183005,10,7.514027126316397
1838547406315860864,1838547406315860929,55,2458796.83448222,902.2336575632626,6.766347468691547,1,451,2458793.0961800003,2458797.0961800003,False,True,adaptive_rolling_hybrid_outlier,855.8511962890625,6.363980047294914,10,7.288278864720119
1838547406315860864,1838547406315860931,56,2458582.9167222,111.9814682006836,6.577410697937012,1,391,2458579.5904651936,2458583.5904651936,True,True,adaptive_rolling_hybrid_outlier,88.98148854573569,5.1256261727167205,10,4.487252655563309
1896043862922069632,1896043862922069697,57,2456965.1778120184,106.61034393310548,10.904014587402344,1,0,2456965.1778120184,2456969.1778120184,True,True,adaptive_rolling_hybrid_outlier,96.68606185913086,2.138920173414307,10,4.63985622153104
1896043862922069632,1896043862922069697,57,2458606.4153945767,100.95438385009766,5.5516228675842285,1,410,2458605.1778120184,2458609.1778120184,True,True,adaptive_rolling_hybrid_outlier,96.78352928161621,0.9484988947425202,10,4.3973214851385425
1896043862922069632,1896043862922069699,58,2457135.1476275683,142.18386840820312,102.42173767089844,1,42,2457133.1778131444,2457137.1778131444,True,True,adaptive_rolling_hybrid_outlier,98.17346064249674,3.373053802117184,10,13.047644759796635
1905161971117186176,1905161971117186241,59,2458299.039763962,676.6463928222656,9.641883373260498,2,357,2458296.888486331,2458300.888486331,True,True,adaptive_rolling_hybrid_outlier,621.1909247504341,13.808114591030595,10,4.016150626954822
1905161971117186176,1905161971117186243,60,2457158.571382014,139.50328063964844,6.754733562469482,1,72,2457157.0646447134,2457161.0646447134,True,True,adaptive_rolling_hybrid_outlier,128.0903491973877,2.347756457392554,10,4.861207561084116
1905161971117186176,1905161971117186243,60,2457539.187979444,144.92918395996094,6.697381973266602,1,167,2457537.0646447134,2457541.0646447134,True,True,adaptive_rolling_hybrid_outlier,127.89870071411133,1.4047829584187705,10,12.123213158151627
1905161971117186176,1905161971117186243,60,2457744.4360918445,123.8761978149414,7.914921283721924,1,218,2457741.0646447134,2457745.0646447134,True,True,adaptive_rolling_hybrid_outlier,128.77825355529785,0.46688630164406575,10,-10.499463623358913
1981625793581429632,1981625793581429699,62,2457744.1919590887,70.20330047607422,3.403625011444092,1,193,2457741.185418225,2457745.185418225,True,True,adaptive_rolling_hybrid_outlier,82.67478942871094,1.7791361532052394,10,-7.009856401472395
1993461967540106112,1993461967540106179,64,2457024.652029702,140.03146362304688,6.340944290161133,1,9,2457021.697214028,2457025.697214028,True,True,adaptive_rolling_hybrid_outlier,129.6101531982422,2.0774378833671907,10,5.016424562313954
1993461967540106112,1993461967540106179,64,2458003.917874198,149.0961456298828,5.134153842926025,1,254,2458001.697214028,2458005.697214028,True,True,adaptive_rolling_hybrid_outlier,130.07925033569336,2.182236677898373,10,8.714405493589211
2043667558242118656,2043667558242118721,66,2457879.054537605,2522.670654296875,27.73201942443848,1,229,2457877.124195244,2457881.124195244,True,True,adaptive_rolling_hybrid_outlier,2565.7947591145835,7.810006962656895,10,-5.521647422838923
2043667558242118656,2043667558242118721,66,2458311.015714222,2646.384648332736,13.941861873381052,2,337,2458309.124195244,2458313.124195244,,True,adaptive_rolling_hybrid_outlier,2571.7562255859375,12.158392523321531,10,6.138017225850428
2043667558242118656,2043667558242118721,66,2458817.558432681,2529.162841796875,31.63322257995605,1,464,2458817.124195244,2458821.124195244,True,True,adaptive_rolling_hybrid_outlier,2572.3914794921875,6.6112964590102195,10,-6.538602218691654
2043667558242118656,2043667558242118723,65,2457226.2776548443,464.9642639160156,10.633281707763672,2,66,2457225.1241939133,2457229.1241939133,True,True,adaptive_rolling_hybrid_outlier,473.1393814086914,1.8464222528946368,10,-4.427544934458869
2054505233904010880,2054505233904010945,67,2456992.103117341,308.77642822265625,11.070502281188965,1,0,2456992.103117341,2456996.103117341,True,True,adaptive_rolling_hybrid_outlier,219.80125370462986,12.250860570734876,10,7.2627693380636655
2054505233904010880,2054505233904010945,67,2457087.0056298333,325.42504119873047,13.807937026023865,4,23,2457084.103117341,2457088.103117341,True,True,adaptive_rolling_hybrid_outlier,219.80125370462986,12.250860570734876,10,8.621744316184369
2054505233904010880,2054505233904010945,67,2457285.2672417755,408.6606750488281,7.507876873016357,1,73,2457284.103117341,2457288.103117341,True,True,adaptive_rolling_hybrid_outlier,218.23604373357284,16.457861208464458,10,11.570436091496374
2054505233904010880,2054505233904010945,67,2457468.607465271,375.689453125,8.241572539011637,3,119,2457468.103117341,2457472.103117341,True,True,adaptive_rolling_hybrid_outlier,220.7928002446801,29.45813078535498,10,5.258196930720611
2054505233904010880,2054505233904010945,67,2457562.0109777115,379.446533203125,7.287593841552734,2,142,2457560.103117341,2457564.103117341,True,True,adaptive_rolling_hybrid_outlier,221.56215074146996,29.554726444308418,10,5.342102650118084
2054505233904010880,2054505233904010945,67,2458091.851684791,224.15256033029888,16.49666850878102,4,274,2458088.103117341,2458092.103117341,,True,adaptive_rolling_hybrid_outlier,192.55330657958984,7.651006899312675,10,4.130077801073182
