componentID,SourceID,RFprob_real,RFpred_real,EDSMprob_real,EDSMpred_real,RFprob_synth,RFpred_synth,EDSMprob_synth,EDSMpred_synth,final_pred_real,final_pred_synth,final_pred
3178020716638059331,3178020716638059264,1.0,True,0.9997991919517517,True,0.922,True,0.6426184773445129,True,True,True,True
3178020716638059333,3178020716638059264,1.0,True,0.9964267611503601,True,0.994,True,0.656618058681488,True,True,True,True
3178020716638059335,3178020716638059264,0.992,True,0.982320249080658,True,0.998,True,0.8643818497657776,True,True,True,True
3185808420059318081,3185808420059318016,1.0,True,0.9988715052604675,True,1.0,True,0.9538589119911194,True,True,True,True
3185808420059318083,3185808420059318016,0.952,True,0.3075101673603058,False,0.998,True,0.4885048270225525,True,True,True,True
3187010529866092737,3187010529866092672,0.948,True,0.9961032867431641,True,0.876,True,0.6466816067695618,True,True,True,True
3187010529866092739,3187010529866092672,1.0,True,0.9996228218078613,True,0.95,True,0.5133635401725769,True,True,True,True
3261414236903292225,3261414236903292160,1.0,True,0.997941792011261,True,0.992,True,0.8634005188941956,True,True,True,True
3261414236903292227,3261414236903292160,0.946,True,0.923233151435852,True,0.986,True,0.7671345472335815,True,True,True,True
3310898517920596033,3310898517920595968,0.06,False,0.24178442358970642,False,0.446,False,0.050250329077243805,False,False,False,False
3310898517920596035,3310898517920595968,0.242,False,0.7281650304794312,True,0.46,False,0.09623585641384125,False,True,False,True
3310898517920596037,3310898517920595968,,False,,False,,False,,False,False,False,False
3310898517920596039,3310898517920595968,,False,,False,,False,,False,False,False,False
3361094865862486721,3361094865862486656,1.0,True,0.999066174030304,True,0.948,True,0.8348550200462341,True,True,True,True
3361094865862486723,3361094865862486656,1.0,True,0.9991675615310669,True,0.96,True,0.6664929986000061,True,True,True,True
3361094865862486725,3361094865862486656,1.0,True,0.9981984496116638,True,0.996,True,0.785270631313324,True,True,True,True
3361094865862486727,3361094865862486656,,False,,False,,False,,False,False,False,False
3385786697275132353,3385786697275132288,0.998,True,0.9997608065605164,True,1.0,True,0.8302389979362488,True,True,True,True
3385786697275132355,3385786697275132288,1.0,True,0.997999370098114,True,0.936,True,0.611052393913269,True,True,True,True
3488423118425915073,3488423118425915008,0.998,True,0.9993520379066467,True,0.988,True,0.9721542000770569,True,True,True,True
3488423118425915075,3488423118425915008,1.0,True,0.9863747358322144,True,1.0,True,0.9456772208213806,True,True,True,True
3511426761399556417,3511426761399556352,0.998,True,0.998279333114624,True,0.998,True,0.6211694478988647,True,True,True,True
3511426761399556419,3511426761399556352,0.998,True,0.9910780787467957,True,0.982,True,0.43343544006347656,True,True,True,True
3511426761399556421,3511426761399556352,1.0,True,0.9835920333862305,True,1.0,True,0.3398140072822571,False,True,True,True
3511426761399556423,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556425,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556427,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556429,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556431,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556433,3511426761399556352,,False,,False,,False,,False,False,False,False
3511426761399556435,3511426761399556352,,False,,False,,False,,False,False,False,False
3518633402989658177,3518633402989658112,1.0,True,0.9994427561759949,True,1.0,True,0.5227346420288086,True,True,True,True
3518633402989658179,3518633402989658112,0.998,True,0.9986206293106079,True,0.948,True,0.5352036356925964,True,True,True,True
3541826024524572609,3541826024524572544,0.976,True,0.9998003840446472,True,0.924,True,0.7721733450889587,True,True,True,True
3541826024524572611,3541826024524572544,0.978,True,0.9997678399085999,True,0.96,True,0.8148593902587891,True,True,True,True
3541826024524572613,3541826024524572544,0.968,True,0.9997357726097107,True,0.946,True,0.7728052139282227,True,True,True,True
3541826024524572615,3541826024524572544,0.938,True,0.9983696341514587,True,0.996,True,0.7174761891365051,True,True,True,True
3552950883176150081,3552950883176150016,0.716,False,0.9998562335968018,True,0.93,True,0.9955215454101562,True,True,True,True
3552950883176150083,3552950883176150016,1.0,True,0.999817430973053,True,0.996,True,0.9771803021430969,True,True,True,True
3585320123243965249,3585320123243965184,1.0,True,0.9990704655647278,True,0.948,True,0.9388593435287476,True,True,True,True
3585320123243965251,3585320123243965184,,False,,False,,False,,False,False,False,False
3586098513053631297,3586098513053631232,0.672,False,0.9937074780464172,True,0.848,True,0.8457534313201904,True,True,True,True
3586098513053631299,3586098513053631232,0.662,False,0.9966368675231934,True,0.884,True,0.9292653799057007,True,True,True,True
3586098513053631301,3586098513053631232,0.778,True,0.9909790754318237,True,0.974,True,0.8618171811103821,True,True,True,True
3586098513053631303,3586098513053631232,,False,,False,,False,,False,False,False,False
3586098513053631305,3586098513053631232,,False,,False,,False,,False,False,False,False
3638526594718696129,3638526594718696064,1.0,True,0.9996989965438843,True,1.0,True,0.7689092755317688,True,True,True,True
3638526594718696131,3638526594718696064,0.782,True,0.31631162762641907,False,0.384,False,0.3431446850299835,False,True,False,True
3650888227855959745,3650888227855959680,1.0,True,0.9986376166343689,True,0.98,True,0.7960188388824463,True,True,True,True
3650888227855959747,3650888227855959680,,False,,False,,False,,False,False,False,False
3661273699296342081,3661273699296342016,0.996,True,0.9822366237640381,True,0.982,True,0.5537918210029602,True,True,True,True
3661273699296342083,3661273699296342016,,False,,False,,False,,False,False,False,False
3671120169521189441,3671120169521189376,1.0,True,0.9997445940971375,True,1.0,True,0.891905665397644,True,True,True,True
3681691771958753729,3681691771958753664,0.966,True,0.999247670173645,True,0.942,True,0.930748701095581,True,True,True,True
3681691771958753731,3681691771958753664,,False,,False,,False,,False,False,False,False
3696663890512658113,3696663890512658048,0.814,True,0.9918960928916931,True,0.996,True,0.9358606934547424,True,True,True,True
3696663890512658115,3696663890512658048,0.996,True,0.9944275617599487,True,1.0,True,0.9006733894348145,True,True,True,True
3699313438657548737,3699313438657548672,1.0,True,0.9812760353088379,True,0.986,True,0.6886255145072937,True,True,True,True
3699313438657548739,3699313438657548672,0.998,True,0.9933613538742065,True,1.0,True,0.8763164281845093,True,True,True,True
3711531005707407169,3711531005707407104,0.998,True,0.9994356036186218,True,0.988,True,0.9412346482276917,True,True,True,True
3711531005707407171,3711531005707407104,0.998,True,0.9675887227058411,True,0.986,True,0.5838874578475952,True,True,True,True
3712919517096119233,3712919517096119168,1.0,True,0.9188100695610046,True,0.994,True,0.6667621731758118,True,True,True,True
3712919517096119235,3712919517096119168,0.38,False,0.2645490765571594,False,0.958,True,0.3507944345474243,False,False,True,True
3723950157046484161,3723950157046484096,1.0,True,0.9997327923774719,True,0.986,True,0.6894155740737915,True,True,True,True
3723950157046484163,3723950157046484096,1.0,True,0.9989345669746399,True,0.892,True,0.45531514286994934,True,True,True,True
3727266494569190081,3727266494569190016,0.954,True,0.997892439365387,True,0.844,True,0.7301828861236572,True,True,True,True
3727266494569190083,3727266494569190016,0.552,False,0.804580807685852,True,0.91,True,0.26608338952064514,False,True,True,True
3728132222538228929,3728132222538228864,0.998,True,0.9994382262229919,True,0.966,True,0.8349509835243225,True,True,True,True
3728132222538228931,3728132222538228864,1.0,True,0.9859360456466675,True,1.0,True,0.6811416149139404,True,True,True,True
3729511589940494913,3729511589940494848,1.0,True,0.9980294108390808,True,0.988,True,0.7621498107910156,True,True,True,True
3729511589940494915,3729511589940494848,,False,,False,,False,,False,False,False,False
3729511589940494917,3729511589940494848,,False,,False,,False,,False,False,False,False
3729511589940494919,3729511589940494848,,False,,False,,False,,False,False,False,False
3729511589940494921,3729511589940494848,,False,,False,,False,,False,False,False,False
3733119018870073281,3733119018870073216,0.998,True,0.9993345141410828,True,1.0,True,0.9717256426811218,True,True,True,True
3733119018870073283,3733119018870073216,0.96,True,0.9134325385093689,True,0.848,True,0.9474351406097412,True,True,True,True
3733516084302177473,3733516084302177408,1.0,True,0.9152674078941345,True,0.948,True,0.618242621421814,True,True,True,True
3733516084302177477,3733516084302177408,,False,,False,,False,,False,False,False,False
3733516084302177479,3733516084302177408,,False,,False,,False,,False,False,False,False
3733516084302177481,3733516084302177408,,False,,False,,False,,False,False,False,False
3737379218406720193,3737379218406720128,1.0,True,0.9980472326278687,True,0.982,True,0.9482954144477844,True,True,True,True
3737379218406720195,3737379218406720128,1.0,True,0.983737051486969,True,1.0,True,0.9020605087280273,True,True,True,True
3740575391333625793,3740575391333625728,0.86,True,0.9949061870574951,True,0.936,True,0.9781558513641357,True,True,True,True
3740575391333625795,3740575391333625728,0.996,True,0.9949766397476196,True,0.972,True,0.7425757646560669,True,True,True,True
3746175582010887233,3746175582010887168,1.0,True,0.9997146725654602,True,0.968,True,0.9399428367614746,True,True,True,True
3746175685090102465,3746175685090102400,1.0,True,0.9976779818534851,True,1.0,True,0.9112006425857544,True,True,True,True
3746665350016537153,3746665350016537088,0.128,False,0.6793440580368042,True,0.746,True,0.40429699420928955,True,True,True,True
3746665350016537155,3746665350016537088,0.998,True,0.9836246967315674,True,1.0,True,0.8914521336555481,True,True,True,True
3746665350016537157,3746665350016537088,,False,,False,,False,,False,False,False,False
3783971985706909249,3783971985706909184,0.034,False,0.1845119595527649,False,0.0,False,0.21780773997306824,False,False,False,False
