source_id,comp_A_reference,comp_B,sample,valid,cost,loo_score,bic_like,K,df_eff,n_overlap,error,delay_A reference,delay_B,pair_delay_B_minus_A reference
6680426255713853824,6680426255713853891,6680426255713853893,0,True,0.09918729400834303,0.09918729400834303,0.9007266650156379,11,11.865511104963339,58,,0.0,88.17700710511868,88.17700710511868
6680426255713853824,6680426255713853891,6680426255713853893,1,True,0.1255416656126639,0.1255416656126639,0.8937325205204741,11,12.067898382191604,61,,0.0,23.80952380952374,23.80952380952374
6680426255713853824,6680426255713853891,6680426255713853893,2,True,0.08911813931435483,0.08911813931435483,0.9521263381831028,11,12.349397120369265,56,,0.0,120.87888824571735,120.87888824571735
6680426255713853824,6680426255713853891,6680426255713853893,3,True,0.06907834084619201,0.06907834084619201,0.9101347734964181,11,12.234048347698767,58,,0.0,86.48283989439703,86.48283989439703
6680426255713853824,6680426255713853891,6680426255713853893,4,True,0.13258797880488424,0.13258797880488424,0.938868180001886,11,12.170130015176477,59,,0.0,75.30039704247574,75.30039704247574
6680426255713853824,6680426255713853891,6680426255713853893,5,True,0.11218738847014878,0.11218738847014878,0.9077615207587705,11,12.206290741974982,61,,0.0,23.531691520656885,23.531691520656885
6680426255713853824,6680426255713853891,6680426255713853893,6,True,0.1214830389387609,0.1214830389387609,0.9393895386642828,11,12.112465198679514,58,,0.0,82.46245390994099,82.46245390994099
6680426255713853824,6680426255713853891,6680426255713853893,7,True,0.16575976601419648,0.16575976601419648,0.9265367969912688,11,12.135435347866618,62,,0.0,8.523725062804186,8.523725062804186
6680426255713853824,6680426255713853891,6680426255713853893,8,True,0.14140548624951835,0.14140548624951835,0.9449569112070193,11,11.722780724440305,56,,0.0,160.86199270272186,160.86199270272186
6680426255713853824,6680426255713853891,6680426255713853893,9,True,0.13098752323205945,0.13098752323205945,0.923241554485313,11,12.05788648777362,60,,0.0,36.34085213032574,36.34085213032574
6680426255713853824,6680426255713853891,6680426255713853893,10,True,0.09472603528337041,0.09472603528337041,0.8821703140053578,11,11.929383401365985,60,,0.0,70.05680111704407,70.05680111704407
6680426255713853824,6680426255713853891,6680426255713853893,11,True,0.09702247511415488,0.09702247511415488,0.8886699610000753,11,12.354849325634362,62,,0.0,12.775641328154245,12.775641328154245
