source_id,comp_A_reference,comp_B,base_delay_B_minus_A,comp_i,comp_i_id,comp_j,comp_j_id,delay_definition,n_valid,mean,median,std,q02_5,q16,q84,q97_5,err_minus_16_84,err_plus_16_84,err_minus_95,err_plus_95
1703314592858616960,1703314592858617025,1703314592858617027,156.4518085082571,A reference,1703314592858617025,B,1703314592858617027,delay(B) - delay(A reference),300,57.49875760205397,65.04398377302215,81.08232638763606,-100.37728363390384,-34.121622019956106,129.65470982468366,167.81396667556749,99.16560579297825,64.61072605166152,165.421267406926,102.76998290254534
1729026466116588544,1729026466116588609,1729026466116588615,62.963222681841245,A reference,1729026466116588609,B,1729026466116588615,delay(B) - delay(A reference),300,46.49431842700827,59.14482904359095,76.54547726514603,-78.72985610208772,-30.831032404904075,78.10156852125262,299.53559924999246,89.97586144849502,18.956739477661664,137.87468514567868,240.3907702064015
1783913498162557696,1783913498162557761,1783913498162557763,157.35551802013657,A reference,1783913498162557761,B,1783913498162557763,delay(B) - delay(A reference),300,168.80349560158294,160.63896202541525,52.796238039199,89.3860387418556,121.55388471177946,212.41185266920132,310.0697307873924,39.08507731363579,51.77289064378607,71.25292328355965,149.43076876197716
2216740923364878464,2216740923364878529,2216740923364878533,-16.51968968681486,A reference,2216740923364878529,B,2216740923364878533,delay(B) - delay(A reference),300,-34.739095562012274,-38.118329430468876,28.27506588769307,-70.164773563176,-62.44963890303234,-16.51968968681486,36.84823411491262,24.33130947256346,21.598639743654015,32.04644413270712,74.96656354538149
2216740923364878464,2216740923364878533,2216740923364878535,19.190704324809612,A reference,2216740923364878533,B,2216740923364878535,delay(B) - delay(A reference),300,20.467213466850072,30.77407878653633,35.417964065594475,-39.893258959774435,-31.36091598137772,59.13826932065523,77.62827150638515,62.13499476791405,28.364190534118904,70.66733774631076,46.85419271984882
1915945641862093696,1915945641862093761,1915945641862093763,51.37844611528817,A reference,1915945641862093761,B,1915945641862093763,delay(B) - delay(A reference),300,55.014553618135324,53.47912393375949,45.871305307582546,-14.54987948102568,16.53893157879976,96.49122807017545,134.32195941116345,36.94019235495973,43.012104136415964,68.02900341478517,80.84283547740395
347285940250887296,347285940250887361,347285940250887363,-0.038700664009657985,A reference,347285940250887361,B,347285940250887363,delay(B) - delay(A reference),300,18.908783420391117,-0.09968349014099262,65.08711667042492,-29.621576296547286,-20.991923320343883,73.41481422705834,129.25460382115335,20.89223983020289,73.51449771719933,29.521892806406292,129.35428731129434
1045166002126206848,1045166002126206913,1045166002126206915,-407.45499035799287,A reference,1045166002126206913,B,1045166002126206915,delay(B) - delay(A reference),300,-374.38781045910525,-393.049191783102,75.01581604250637,-492.4812030075188,-410.6999424889832,-292.4919264158209,-220.05475204256123,17.650750705881194,100.5572653672811,99.43201122441678,172.99443974054077
4956574748452174592,4956574748452174657,4956574748452174659,37.695073405049435,A reference,4956574748452174657,B,4956574748452174659,delay(B) - delay(A reference),300,33.332205960119445,43.53504487216563,69.44560248347561,-68.18980594100141,-43.85964912280707,59.136953877564046,163.95029645734783,87.3946939949727,15.601909005398419,111.72485081316704,120.4152515851822
1599341745383363328,1599341745383363393,1599341745383363397,184.95865532595045,A reference,1599341745383363393,B,1599341745383363397,delay(B) - delay(A reference),300,115.71008033060468,164.1604010025062,151.31866607451244,-309.15125832635795,69.73684198440006,195.06467820699612,252.15478270858915,94.42355901810615,30.904277204489915,473.31165932886415,87.99438170608295
827031141513223936,827031141513224001,827031141513224003,42.00913803272375,A reference,827031141513224001,B,827031141513224003,delay(B) - delay(A reference),300,103.54128669341858,124.06015037593977,108.77179703796605,-127.68897238086174,53.763387421180234,161.65413533834578,237.66707343288925,70.29676295475954,37.59398496240601,251.7491227568015,113.60692305694948
3992914344995211136,3992914344995211201,3992914344995211203,-30.713000503038224,A reference,3992914344995211201,B,3992914344995211203,delay(B) - delay(A reference),300,9.726461866548783,13.59810469739394,73.26777449504591,-98.40400723073776,-34.554421822398155,50.916845501378525,137.02546267294747,48.15252651979209,37.31874080398458,112.0021119281317,123.42735797555353
1537658249711963904,1537658249711963969,1537658249711963971,-147.80762299502436,A reference,1537658249711963969,B,1537658249711963971,delay(B) - delay(A reference),300,-131.99831361966486,-147.78846806019874,51.58129582828272,-202.8091254629353,-165.35148264414715,-88.5175345916577,-18.273564263835578,17.563014583948416,59.270933468541045,55.02065740273656,129.51490379636317
