source_id,comp_A_reference,comp_B,delay_B_minus_A,cost,loo_score,loo_score_raw,bic_like,K,df_eff,hat_diag_max,lambda_base,lambda_median,n_overlap,span_frac,min_frac_comp,forced_to_min_plotted_LOO
1703314592858616960,1703314592858617025,1703314592858617027,156.4518085082571,0.06863366787721582,0.06863366787721582,0.588013143272052,0.5394112834162609,5,8.606827529161983,0.6851963347000508,0.05,0.05,78,0.9185727251696559,0.8571428571428571,True
1729026466116588544,1729026466116588609,1729026466116588615,62.963222681841245,0.16274105659483878,0.16274105659483878,0.9498219239821742,0.6755747456459839,8,10.849957535885377,0.5950675351737051,0.05,0.05,92,0.9677007455871388,0.9583333333333334,True
1783913498162557696,1783913498162557761,1783913498162557763,157.35551802013657,0.03076639159526617,0.03076639159526617,0.7410140122806109,0.5677239431721042,5,8.163190126361187,0.8750475565520465,0.05,0.05,63,0.9143875886514256,0.9117647058823529,True
2216740923364878464,2216740923364878529,2216740923364878533,-16.51968968681486,0.14269034035692488,0.14269034035692488,1.556631101153405,0.6742614834173146,9,11.10891803134206,0.9186179923078648,0.05397814606752663,0.05397814606752663,93,1.0,0.9411764705882353,True
2216740923364878464,2216740923364878533,2216740923364878535,19.190704324809612,0.10874132086785405,0.10874132086785405,1.12271896436351,0.7659262417175111,14,14.738986858721947,0.6960220344260373,0.05,0.05000000000000001,101,0.9902158337046443,0.9803921568627451,True
1915945641862093696,1915945641862093761,1915945641862093763,51.37844611528817,0.04067043637239706,0.04067043637239706,0.8912790602322173,0.5245665655211575,5,8.645988242353987,0.7705429537741596,0.05,0.05,78,0.974049712344214,0.9512195121951219,True
347285940250887296,347285940250887361,347285940250887363,-0.038700664009657985,0.18291632409266054,0.18291632409266054,1.3486539366278976,0.9734332251955337,17,12.984764333863039,0.8405281903390818,0.1376472709763176,0.1376472709763176,66,0.9999802407763795,0.9696969696969697,True
1045166002126206848,1045166002126206913,1045166002126206915,-407.45499035799287,0.08315169526805365,0.08315169526805365,1.382699303451271,0.8062670210190935,12,11.739095752491792,0.633252610189342,0.06875265638326862,0.06875265638326863,67,0.7885294078410424,0.75,True
4956574748452174592,4956574748452174657,4956574748452174659,37.695073405049435,0.057260651727240416,0.057260651727240416,1.175612762791797,0.6249689635308031,12,13.417533071390281,0.4755178151122776,0.05,0.05,110,0.9808094973238338,0.9491525423728814,True
1599341745383363328,1599341745383363393,1599341745383363397,184.95865532595045,0.09409073216181671,0.09409073216181671,0.988609681518861,0.5808195715442497,8,10.503866319017915,0.5594667312314654,0.05,0.049999999999999996,97,0.9039431567065093,0.8888888888888888,True
